topic,word,pronunciation,word_type,meaning,example_en,example_vi,image_url,audio_url
1,anticipate,/ænˈtɪsɪpeɪt/,v,"đoán trước, liệu trước",They anticipate moving to bigger premises by the end of the year.,Họ dự kiến sẽ di chuyển đến các cơ sở lớn hơn vào cuối năm nay.,https://audio.tudienkala.com/data/images_example/300x225/w/e/we_dont_an_ex2_587728e17f8b9a5f308b45ee.jpg,https://audio.tudienkala.com/audio/a/n/anticipate.mp3
1,appreciate,/əˈpriːʃieɪt/,v,"đánh giá cao, cảm kích",We would appreciate you letting us know of any problems.,Chúng tôi sẽ đánh giá cao việc bạn cho chúng tôi biết về bất kỳ vấn đề nào.,https://audio.tudienkala.com/data/images_example/300x225/y/o/your_suppo_ex1_56248cfa7f8b9afa0cb17cbc.jpg,https://audio.tudienkala.com/audio/a/p/appreciate.mp3
1,avoid,/ə'vɔid/,v,"tránh, tránh khỏi; hủy bỏ, bác bỏ","To avoid going out of business, owners should prepare a proper business plan.","Nhằm tránh lụn bại việc làm ăn, những người chủ nên chuẩn bị một kế hoạch kinh doanh phù hợp.",https://audio.tudienkala.com/data/cache/images/300x225/a/v/avoid1.png,https://audio.tudienkala.com/audio/a/v/avoid.mp3
1,consider,/kən'sidə/,v,xem như,You shouldn't consider marrying a man for his money.,Bạn không nên nghĩ rằng lấy một người đàn ông vì tiền của anh ta.,https://audio.tudienkala.com/data/images_example/300x225/y/o/you_should_ex1_56248d147f8b9a040dc65dc0.png,https://audio.tudienkala.com/audio/c/o/consider.mp3
1,dislike,/dɪˈslaɪk/,v,không thích,"Much as she disliked going to funerals (= although she did not like it at all), she knew she had to be there.",Hầu như cô không thích đi đến đám tang nhưng cô biết cô phải có mặt ở đó.,https://audio.tudienkala.com/data/images_example/300x225/m/u/much_as_sh_ex2_587728a17f8b9a41308b4665.jpg,https://audio.tudienkala.com/audio/d/i/dislike.mp3
1,enjoy,/ɪnˈdʒɔɪ/,v,"yêu thích, thưởng thức",I really enjoyed watching that film.,Tôi thật sự rất thích xem bộ phim đó.,https://audio.tudienkala.com/data/cache/images/300x225/e/n/enjoy1.png,https://audio.tudienkala.com/audio/e/n/enjoy.mp3
1,suggest,/səˈdʒest/,v,"góp ý, gợi ý",I suggest being on time.,Tôi đề nghị đến đúng giờ.,https://audio.tudienkala.com/data/cache/images/300x225/s/u/suggest1.jpg,https://audio.tudienkala.com/audio/s/u/suggest.mp3
1,involve,/ɪnˈvɒlv/,v,"bao gồm, liên quan",We've agreed to involve disabled students taking part in our Santa Claus activities for children in the neighbourhood.,Chúng tôi thống nhất để những học sinh khuyết tật tham gia vào các hoạt động ông già Noel cho trẻ em trong vùng.,https://audio.tudienkala.com/data/images_example/300x225/w/e/weve_agree_ex1_56248d127f8b9a020d261a70.jpg,https://audio.tudienkala.com/audio/i/n/involve.mp3
1,keep,/kiːp/,v,"giữ, duy trì",I'm very sorry to keep you waiting.,Tôi rất xin lỗi đã khiến cho bạn chờ đợi.,https://audio.tudienkala.com/data/images_example/300x225/i/m/im_very_so_ex2_582d0f137f8b9aec0d8b4680.jpg,https://audio.tudienkala.com/audio/k/e/keep.mp3
1,miss,/'mis/,v,thấy nhớ (ai đó),I am going to miss talking with her about my confessions.,Tôi sẽ nhớ việc nói chuyện với cô ấy về những lời thú nhận của mình.,https://audio.tudienkala.com/data/cache/images/300x225/m/i/miss1.png,https://audio.tudienkala.com/audio/m/i/miss.mp3
